품목명,수집일,외부 일사량,내부온도,내부습도,내부CO2,지습
딸기,2021/02/16 13:00,223,17,58,,28
딸기,2021/02/16 14:00,114,12,74,,28
딸기,2021/02/16 15:00,140,10,83,,28
딸기,2021/02/16 16:00,177,10,84,,27
딸기,2021/02/16 17:00,64,10,84,,28
딸기,2021/02/16 18:00,2,9,87,,28
딸기,2021/02/16 19:00,0,8,87,,28
딸기,2021/02/16 20:00,0,8,87,,27
딸기,2021/02/16 21:00,0,7,87,,27
딸기,2021/02/16 22:00,0,7,86,,27
딸기,2021/02/16 23:00,0,7,86,,27
딸기,2021/02/17 0:00,0,7,86,,27
딸기,2021/02/17 1:00,0,6,86,,27
딸기,2021/02/17 2:00,0,6,87,,27
딸기,2021/02/17 3:00,0,6,86,,27
딸기,2021/02/17 4:00,0,6,86,,27
딸기,2021/02/17 5:00,0,6,85,,27
딸기,2021/02/17 6:00,0,8,83,,27
딸기,2021/02/17 7:00,14,9,80,,27
딸기,2021/02/17 8:00,108,9,80,,27
딸기,2021/02/17 9:00,247,9,84,,27
딸기,2021/02/17 10:00,371,11,81,,27
딸기,2021/02/17 11:00,441,19,59,,27
딸기,2021/02/17 12:00,356,18,53,,27
딸기,2021/02/17 13:00,502,19,51,,28
딸기,2021/02/17 14:00,396,19,49,,28
딸기,2021/02/17 15:00,350,15,59,,29
딸기,2021/02/17 16:00,244,14,67,,28
딸기,2021/02/17 17:00,66,9,77,,28
딸기,2021/02/17 18:00,2,8,84,,28
딸기,2021/02/17 19:00,0,7,85,,28
딸기,2021/02/17 20:00,0,7,84,,28
딸기,2021/02/17 21:00,0,7,84,,28
딸기,2021/02/17 22:00,0,7,83,,28
딸기,2021/02/17 23:00,0,7,83,,28
딸기,2021/02/18 0:00,0,6,84,,27
딸기,2021/02/18 1:00,0,6,84,,27
딸기,2021/02/18 2:00,0,6,84,,27
딸기,2021/02/18 3:00,0,6,84,,27
딸기,2021/02/18 4:00,0,6,83,,27
딸기,2021/02/18 5:00,0,7,82,,27
딸기,2021/02/18 6:00,0,8,80,,27
딸기,2021/02/18 7:00,14,9,77,,27
딸기,2021/02/18 8:00,114,10,79,,27
딸기,2021/02/18 9:00,272,12,79,,27
딸기,2021/02/18 10:00,436,20,56,,27
딸기,2021/02/18 11:00,554,24,41,,28
딸기,2021/02/18 12:00,607,17,32,,29
딸기,2021/02/18 13:00,514,22,36,,29
딸기,2021/02/18 14:00,562,26,40,,29
딸기,2021/02/18 15:00,449,23,49,,29
딸기,2021/02/18 16:00,275,17,61,,29
딸기,2021/02/18 17:00,64,12,76,,29
딸기,2021/02/18 18:00,3,8,84,,28
딸기,2021/02/18 19:00,0,8,85,,28
딸기,2021/02/18 20:00,0,8,85,,28
딸기,2021/02/18 21:00,0,7,85,,28
딸기,2021/02/18 22:00,0,7,86,,27
딸기,2021/02/18 23:00,0,7,86,,27
딸기,2021/02/19 0:00,0,6,86,,28
딸기,2021/02/19 1:00,0,6,86,,27
딸기,2021/02/19 2:00,0,6,86,,27
딸기,2021/02/19 3:00,0,6,85,,27
딸기,2021/02/19 4:00,0,6,85,,27
딸기,2021/02/19 5:00,0,6,85,,27
딸기,2021/02/19 6:00,0,8,83,,27
